SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8308109679108154
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8594452528332102
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8524648799991789
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8646481327502669
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8589185169787303
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8549898117352386
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8667836264063397
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.857696951732775
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 1, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8580908808614601
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8672404302168021
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8698449176726616
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8654837885973556
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8616477914305658
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8527683465755114
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.869180884043689
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8722171537529769
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8639051849798802
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8682919771906052
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8773061535066108
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8690285091771373
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8628189927732611
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8766940877268621
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8637916256056499
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8718113554241603
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 2, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8640338214461689
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8732398296994333
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8779920008006898
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8632806084216145
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.862113577338425
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8781180709534369
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8641820260532151
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8764095477129015
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8811716632791328
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8955664367249733
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8621103694464974
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8766838224726944
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8750554965303441
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8726162155087461
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8618941575305905
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8783875338753387
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8766972956187896
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8775207614765541
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8628148225137553
SUCCESS | Hidden: [6, 30], Dropout: 0.3, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8885998578262297
